cluster	size	words
301	32	affût_nom, aguet_nom, alarme_nom, alerte_nom, chiourme_nom, embusquer_ver, faction_nom, garde, garde_nom, gardien_nom, guet_nom, guetter_ver, guetteur_adj, guetteur_nom, patrouille_nom, patrouiller_ver, qui, ronde_nom, sentinelle_nom, surveillance_nom, surveille_nom, surveiller_ver, tapir_ver, veiller_ver, veilleur_nom, vigilance_nom, vigilant_adj, vigiler_ver, vive_nom, à_nom, épier_ver, éveil_nom
370	32	abby_nam, alister_nam, asgoroth_nam, ash_nam, calhoun_nam, calywen_nam, cassiodon_nam, celemval_nam, déchu_nam, dépeceur_nom, elora_nam, erak_nom, gardiens_nam, gusev_nam, immanente_nom, imperator_nam, josah_nam, jul_nam, laka_nam, laka_nom, liam_nam, memnon_nam, orichalque_nom, rowena_nam, rowena_nom, shamdoth_nam, tirnaèg_nam, wyrd_nam, wyrd_nom, wyrdmar_nam, wyrdmar_nom, écuyer_nam
250	33	babine_nom, bave_nom, baveuse_adj, bouche_nom, canine_nom, chicot_nom, commissure_nom, dent_nom, dentition_nom, denture_nom, gencive_nom, glaire_nom, goulu_adj, goulûment_adv, gourmand_adj, gourmandise_nom, incisive_nom, laper_ver, lèvre_nom, maxillaire_nom, molaire_nom, morve_nom, mâchoire_nom, narine_nom, pourlécher_ver, retrousser_ver, retroussé_adj, salive_nom, trousser_ver, tétine_nom, vorace_adj, voracité_nom, édenter_ver
298	33	battant_nom, cadenas_nom, cadenasser_ver, chambranle_nom, clef_nom, clenche_nom, clé_nom, cochère_adj, contrevent_nom, crocheter_ver, embrasure_nom, encadrement_nom, entrebâillement_nom, entrebâiller_ver, espagnolette_nom, gond_nom, grille_nom, gâche_nom, heurtoir_nom, huis_nom, judas_nom, loquet_nom, lourde_nom, portail_nom, porte_adj, porte_nom, portillon_nom, pêne_nom, serrure_nom, trousseau_nom, vantail_nom, verrou_nom, verrouiller_ver
371	33	asbeste_nom, conformer_ver, conformément_adv, contrairement_adv, convention_nom, coran_nam, cérémonial_nom, dicter_ver, dogme_nam, déroger_ver, désobéir_ver, enfreindre_ver, frida_nam, imposer_ver, interdit_nom, loi_nam, loi_nom, obéir_ver, principe_nom, précepte_nom, respecter_ver, rite_nom, rituel_adj, rituel_nom, règle_nom, règles_nom, selon_prp, soumettre_ver, suivant_prp, tabou_nom, transgresser_ver, édicter_ver, éthique_nom
391	33	annonce_nom, article_nom, articler_ver, capital_adj, capitale_nam, chronique_nom, courrier_nam, covet_nam, crépu_nam, crépuscule_nam, entrefilet_nom, figaro_nam, france, gazette_nom, hebdomadaire_nom, herald_nam, journal_nam, journal_nom, journaux_nom, life_nam, match_nam, matin_nam, news_nam, nécrologique_adj, petit_nam, presse_nom, quotidien_nom, revue_nom, rubrique_nom, rédacteur_nom, soir_nam, times_nam, titrer_ver
339	33	assouvissement_nom, bonheur_nom, béatitude_nom, charnel_adj, délectable_adj, délectation_nom, désir_nom, enivrant_adj, enivrement_nom, enivrer_ver, exalter_ver, extase_nom, extatique_adj, grisant_adj, griser_ver, griserie_nom, impur_adj, ineffable_adj, joie_nom, jouissance_nom, luxure_nom, partagé_adj, plaisir_nom, plénitude_nom, ravissement_nom, renaissant_adj, retremper_ver, sensuel_adj, tonique_adj, voluptueux_adj, volupté_nom, émerveillement_nom, évocateur_adj
222	33	baie_nom, baies_nom, balcon_nom, carreau_nom, claire, croisée_nom, dépoli_adj, dépolir_ver, fente_nom, fenêtre_nom, fenêtres_nom, filtrer_ver, grillager_ver, imposte_nom, interstice_nom, lucarne_nom, meurtrière_nom, persienne_nom, portes, rai_nom, rais_nom, rideau_nom, soupirail_nom, store_nom, treillage_nom, vasistas_nom, verrière_nom, vitrage_nom, vitrail_nom, vitre_nom, vitrer_ver, vitré_adj, volet_nom
392	34	arbalète_nom, arc_nom, carquois_nom, cimeterre_nom, couteau_nom, coutelas_nom, dague_nom, encocher_ver, flèche_nom, fléchette_nom, fourreau_nom, fulgence_nam, glaive_nom, harpon_nom, javelot_nom, lame_nom, lance_nom, magioris_nom, massue_nom, orloc_nom, pique_nom, pistorapière_nom, poignard_nom, propulseur_nom, rapière_nom, rendt_nom, sabre_nom, sagaie_nom, sarbacane_nom, stylet_nom, tranchant_nom, trident_nom, épieu_nom, épée_nom
382	34	analyser_ver, capter_ver, censurer_ver, delange_nam, dictée_nom, disséquer_ver, déchiffrer_ver, décoder_ver, décortiquer_ver, décrypter_ver, expérimenter_ver, lire_nom, lire_ver, lisaient_ver, lisais_ver, lisait_ver, lisant_ver, lisent_ver, liser_ver, mémoriser_ver, recopier_ver, redécouvrir_ver, relire_ver, retranscrire_ver, rédiger_ver, réécrire_ver, sélectionner_ver, tester_ver, transcrire_ver, trier_ver, visualiser_ver, écrit_nom, épeler_ver, éplucher_ver
